-12440153,44;3906266,972;Pima Hospital;9439;PINAL;AZ;Hospital
-9086921,866;4124839,905;Union Medical Center;1247926;UNION;SC;Hospital
-10342963,29;5073417,933;Pella Surgical Associates Center;1975798;MARION;IA;Hospital
-10022725,19;4946685,7;Coleman Clinic;1773421;FULTON;IL;Hospital
-9949715,938;4886071,3;Drake Hospital;1866523;LOGAN;IL;Hospital
-10627796,21;5340211,459;Hartley Clinic;1907122;O'BRIEN;IA;Hospital
-10722606,41;5464062,144;Family Medical Clinic;2050063;PIPESTONE;MN;Hospital
-10475345,16;5408439,777;Griffin Medical Clinic;2049289;FARIBAULT;MN;Hospital
-9303402,756;5141899,655;Ida Family Clinic;2438875;MONROE;MI;Hospital
-9579536,931;5592574,656;Manitou Medical Center;2492799;LEELANAU;MI;Hospital
-12524689,69;5769626,235;Acadia Montana;1797946;SILVER BOW;MT;Hospital
-10475835,63;4149558,492;Mercy Hospital Waldron;66308;SCOTT;AR;Hospital
-10416559,9;5104059,086;The Abbey;2048470;POLK;IA;Hospital
-9392370,497;3996991,59;Atlanta Medical Center;351199;FULTON;GA;Hospital
-10841899,08;3220779,307;Spohn Hospital;1347669;NUECES;TX;Hospital
-10642175,11;5445512,232;Fulda Clinic;2049993;MURRAY;MN;Hospital
-12708895,41;6055701,441;Sunset Home;1796986;LAKE;MT;Hospital
-13034464,27;3847440,44;Chula Vista Hospital;1870159;SAN DIEGO;CA;Hospital
-9057956,117;4694883,082;Roane General Hospital;1740984;ROANE;WV;Hospital
-9484012,667;4030645,526;Polk Medical Center;343587;POLK;GA;Hospital
-8930491,496;3140179,881;Martin Hospital South;2662502;MARTIN;FL;Hospital
-9824768,146;4883056,217;The Pavilion;2662350;CHAMPAIGN;IL;Hospital
-11635235,3;3950799,848;Roswell Regional Hospital;2697023;CHAVES;NM;Hospital
-12027740,6;4685205,723;Delta County Memorial Hospital;2695591;DELTA;CO;Hospital
-8368417,135;5011296,055;Pocono Medical Center;2718109;MONROE;PA;Hospital
-11598154,13;5939900,213;Wibaux Clinic;1696524;WIBAUX;MT;Hospital
-10434059,44;4204433,954;Smith Clinic;64178;LOGAN;AR;Hospital
-10208414,52;4198183,911;Searcy Medical Center;65111;WHITE;AR;Hospital
-9899799,659;4840910,987;Saint Marys Hospital;417598;MACON;IL;Hospital
-12357432,46;3794317,368;Elks Hospital;4415;PIMA;AZ;Hospital
-8258410,94;4978881,059;Columbus Hospital;875586;ESSEX;NJ;Hospital
-10964996,58;5696319,761;Dakota Plains Surgical Center;2610956;BROWN;SD;Hospital
-8178589,555;5036749,599;Silver Hill Hospital;2660317;FAIRFIELD;CT;Hospital
-12468634,24;3963460,558;Camelback Hospital;2392;MARICOPA;AZ;Hospital
-12488858;3969024,693;Northwest Hospital;8809;MARICOPA;AZ;Hospital
-12284393,06;3704215,974;Raymond W Bliss Army Hospital;22188;COCHISE;AZ;Hospital
-12471788,36;3959122,255;Humana Phoenix Hospital;14593;MARICOPA;AZ;Hospital
-12475715,71;3972550,255;North Mountain Hospital;8749;MARICOPA;AZ;Hospital
-12694931,08;4192872,048;Mohave County Hospital;23088;MOHAVE;AZ;Hospital
-12470767,81;3952117,728;Maricopa County Veterinary Center;14725;MARICOPA;AZ;Hospital
-12474664,18;3957342,913;Grunow Memorial Clinic;5406;MARICOPA;AZ;Hospital
-12226660,19;3799106,995;Northern Cochise Community Hospital;22156;COCHISE;AZ;Hospital
-12349856,25;3794280,821;Oshrin Hospital;15496;PIMA;AZ;Hospital
-12201339,47;4322621,712;Chinle Extended Care Center;21573;APACHE;AZ;Hospital
-12450142,16;3953081,256;Mesa Lutheran Hospital;14768;MARICOPA;AZ;Hospital
-12346456,97;3903168,503;Kennecott Cooper Corporation Hospital;23726;PINAL;AZ;Hospital
-12212963,03;3872659,321;Safford Inn Hospital;22637;GRAHAM;AZ;Hospital
-12266556,01;4274929,33;Department of Health Indian Hospital;23351;NAVAJO;AZ;Hospital
-12331366,91;3947636,943;Gila County Hospital;39454;GILA;AZ;Hospital
-10502739,35;4213493,153;Tuberculosis Sanitorium;55673;SEBASTIAN;AR;Hospital
-12367268,57;3935162,441;Magma Hospital;40373;PINAL;AZ;Hospital
-10879712,6;3538713,887;HealthSouth Rehabilitation Hospital of Austin;2360986;TRAVIS;TX;Hospital
-10315870,94;3923745,943;Warner Brown Hospital;59887;UNION;AR;Hospital
-8548687,533;5298536,268;Seneca Falls Hospital;2370223;SENECA;NY;Hospital
